Zona;Nil;Tipologia esercizio;Insegna;Indirizzo;Categoria (stelle);Numero camere;Numero posti letto
1;1;Albergo;Boscolo Hotel Exedra;Cso Matteotti Giacomo, 4/6;5;154;308
1;1;Albergo;Carlton Hotel Baglioni;Via Senato, 5;5;93;186
1;1;Albergo;Four Season Hotel Milan;Via Gesu', 10;5;118;240
1;1;Albergo;Hotel Pierre Milano;Via De Amicis Edmondo, 32;5;47;92
1;1;Albergo;Park Hyatt Milano;Via Grossi Tommaso, 1;5;106;212
1;1;Albergo;The Gray;Via San Raffaele, 6;5;21;32
1;1;Albergo;Town House Galleria;Via Santa Radegonda, 14;5;18;25
1;1;Albergo;Hotel Lloyd;Cso Di Porta Romana, 48;4;56;100
1;1;Albergo;Hotel Galileo;Cso Europa, 9;4;89;159
1;1;Albergo;Hotel King;Cso Magenta, 19;4;48;96
1;1;Albergo;Hotel Ambasciatori;Via Del Corso, 3;4;87;150
1;1;Albergo;Jolly Hotel President;Lgo Augusto, 10;4;242;530
1;1;Albergo;Grand Hotel Duomo;Pza Del Duomo, 25;4;161;244
1;1;Albergo;Grand Hotel Plaza;Pza Diaz Armando, 3;4;119;217
1;1;Albergo;Starhotels Rosa Grand;Pza Fontana, 3;4;327;650
1;1;Albergo;Hotel Dei Cavalieri;Via Missori Giuseppe, 1;4;167;305
1;1;Albergo;Hotel Brunelleschi;Via Baracchini Flavio, 12;4;177;259
1;1;Albergo;Hotel Regina;Via Correnti Cesare, 13;4;43;59
1;1;Albergo;Hotel De La Ville;Via Hoepli Ulrico, 6;4;109;208
1;1;Albergo;Ascot;Via Lentasio, 3;4;64;99
1;1;Albergo;Hotel Sir Edward;Via Mazzini Giuseppe, 4;4;38;70
1;1;Albergo;Hotel Carrobio;Via Medici, 3;4;56;93
1;1;Albergo;Hotel Mentana;Via Morigi, 2;4;32;48
1;1;Albergo;Straf;Via San Raffaele, 3;4;64;118
1;1;Albergo;Uptown Palace;Via Santa Sofia, 10;4;158;318
1;1;Albergo;Manzoni;Via Santo Spirito, 20;4;47;99
1;1;Albergo;Spadari Al Duomo;Via Spadari, 11;4;40;99
1;1;Residence;Camperio House Hotel  E  Residence;Via Giulini Giorgio, 6;4;10;20
1;1;Residence;Residence Di Corso Italia;Cso Italia, 34;4;41;81
1;1;Residence;Residence Vip S;Via Pantano, 8;4;38;99
1;1;Albergo;Vecchia Milano;Via Borromei, 4;3;28;43
1;1;Albergo;Hotel Ariston;Lgo Carrobbio, 2;3;52;95
1;1;Albergo;Hotel Zurigio;Cso Italia, 11;3;39;70
1;1;Albergo;Rio;Via Mazzini Giuseppe, 8;3;42;61
1;1;Albergo;Gran Duca Di York;Via Moneta, 1;3;33;60
1;1;Albergo;Hotel Genius Down Town;Via Porlezza, 4;3;36;60
1;1;Albergo;Hotel Gritti;Pza Santa Maria Beltrade, 4;3;48;78
1;1;Albergo;Hotel Nuovo Biscione;Via Santa Maria Fulcorina, 15;3;25;34
1;1;Albergo;Hotel Canada;Via Santa Sofia, 16;3;35;78
1;1;Residence;Residence Cerva;Via Cerva, 16;3;7;7
1;1;Albergo;Hotel Nuovo;Pza Beccaria Cesare, 6;1;15;33
1;2;Albergo;Bulgari Hotels  E  Resorts Milano;Via F.Lli Gabba, 7;5;59;118
1;2;Albergo;Grand Hotel Et De Milan;Via Manzoni Alessandro, 31;5;95;190
1;2;Albergo;Grand Hotel Et De Milan;Via Manzoni Alessandro, 29;5;102;158
1;2;Albergo;Hotel Palazzo Parigi;Cso Porta Nuova, 1;5;79;158
1;2;Albergo;Carlyle Brera Hotel;Cso Garibaldi Giuseppe, 84;4;98;203
1;2;Albergo;Hotel Bonaparte;Via Cusani, 13;4;92;234
1;2;Albergo;Hotel Milano Scala;Via Dell' Orso, 7;4;62;115
1;2;Albergo;Hotel Cavour;Via Fatebenefratelli, 21;4;121;224
1;2;Albergo;Hotel Manin;Via Manin Daniele, 7;4;119;183
1;2;Albergo;;Via San Tomaso, 8;4;11;22
1;2;Albergo;Jolly Touring;Via Tarchetti Iginio Ugo, 2;4;282;577
1;2;Residence;Residence Borgonuovo;Via Borgonuovo, 1;4;16;32
1;2;Residence;Residence Principessa Clotilde;Cso Di Porta Nuova, 52;4;216;367
1;2;Albergo;Hotel Centro;Via Broletto, 46;3;54;94
1;2;Albergo;Hotel Star;Via Dei Bossi, 5;3;30;48
1;2;Albergo;Hotel Ritter;Cso Garibaldi Giuseppe, 68;3;89;172
1;2;Albergo;Hotel Giulio Cesare;Via Rovello, 10;3;24;34
1;2;Albergo;Antica Locanda Solferino;Via Castelfidardo, 2;2;11;21
1;2;Albergo;Hotel London;Via Rovello, 3;2;29;49
1;2;Albergo;Style Hotel;Via Mercato, 1;1;14;25
1;4;Residence;Residence Bocconi;Via Siracusa, 5/7;4;48;97
1;4;Albergo;Albergo Pavone;Via Dandolo Enrico, 2;3;24;50
1;4;Albergo;Atena;Vle Piave, 5;2;12;24
1;4;Albergo;Hotel Cinque Giornate;Pza Cinque Giornate, 6;2;22;48
1;5;Albergo;Hotel Crivi S;Cso Di Porta Vigentina, 46;4;64;94
1;5;Residence;Hotel Romana Residence;Cso Di Porta Romana, 64;4;72;147
1;6;Residence;Petit Palais;Via Molino Delle Armi, 1;4;17;23
1;6;Albergo;Idea Hotel Milano Corso Genova;Via Conca Del Naviglio, 20;3;105;199
1;6;Albergo;Hotel Milano Navigli;Pza Sant' Eustorgio, 2;3;22;38
1;7;Albergo;Hotel Ariosto;Via Ariosto Lodovico, 22;4;48;96
1;7;Albergo;Antica Locanda Leonardo;Cso Magenta, 78;3;16;35
1;7;Albergo;Palazzo Delle Stelline;Cso Magenta, 61;3;105;167
1;7;Albergo;Hotel Sant Ambreus;Vle Papiniano, 14;3;52;84
1;68;Albergo;Hotel Lancaster;Via Sangiorgio Abbondio, 16;3;30;65
1;69;Albergo;Hotel Europeo;Via Canonica Luigi, 38;3;45;70
1;69;Residence;Giusti 6;Via Giusti Giuseppe, 6;3;72;169
2;10;Albergo;Duca Di Milano;Pza Della Repubblica, 13;5;99;189
2;10;Albergo;Hotel Execelsior Gallia;Pza Duca D'Aosta, 9;5;243;448
2;10;Albergo;Hotel Principe Di Savoia;Pza Della Repubblica, 17;5;302;725
2;10;Albergo;The Westin Palace;Pza Della Repubblica, 20;5;228;441
2;10;Albergo;Starhotels Anderson;Pza Luigi Di Savoia, 20;4;106;212
2;10;Albergo;Hotel Marconi;Via Filzi Fabio, 3;4;67;98
2;10;Albergo;Una Hotel Century;Via Filzi Fabio, 25/B;4;144;288
2;10;Albergo;Hotel Windsor;Via Galilei Galileo, 2;4;103;196
2;10;Albergo;Hilton Milan;Via Galvani Luigi, 12;4;320;469
2;10;Albergo;Hotel Madison;Via Gasparotto Leopoldo, 8;4;97;150
2;10;Albergo;Nh Machiavelli;Via Lazzaretto, 5;4;103;203
2;10;Albergo;Colombia;Via Lepetit Roberto, 15;4;48;81
2;10;Albergo;Hotel Mediolanum;Via Macchi Mauro, 1;4;52;93
2;10;Albergo;R.T.A. Le Gare;Via Macchi Mauro, 49;4;22;67
2;10;Albergo;Hotel Baviera;Via Manuzio Aldo, 9;4;52;92
2;10;Albergo;Auriga;Via Pirelli Giovanni Battista, 7;4;52;91
2;10;Albergo;Andreola;Via Scarlatti Domenico, 24;4;78;155
2;10;Albergo;Hotel Bristol;Via Scarlatti Domenico, 32;4;68;116
2;10;Albergo;Hotel Michelangelo;Via Scarlatti Domenico, 33;4;305;538
2;10;Albergo;Hotel Berna;Via Torriani Napo, 18;4;122;197
2;10;Albergo;Hotel Atlantic;Via Torriani Napo, 24;4;62;91
2;10;Albergo;Starhotels E.C.H.O.;Vle Doria Andrea, 4;4;143;299
2;10;Residence;Residenza Delle Citta;Via Macchi Mauro, 79;4;31;93
2;10;Albergo;Hotel Bolzano;Via Boscovich Ruggero, 21;3;35;68
2;10;Albergo;Hotel Delle Nazioni;Via Cappellini Alfredo, 18;3;81;163
2;10;Albergo;Hotel Club;Via Copernico Nicolo', 18;3;53;73
2;10;Albergo;Mini Hotel Aosta;Pza Duca D'Aosta, 16;3;63;110
2;10;Albergo;Nuovo Monopole;Via Filzi Fabio, 43;3;71;125
2;10;Albergo;Albergo Sempione;Via Finocchiaro Aprile, 11;3;49;101
2;10;Albergo;Hotel Ibis Milano Centro;Via Finocchiaro Aprile, 2;3;439;636
2;10;Albergo;Florida;Via Lepetit Roberto, 33;3;55;96
2;10;Albergo;Hotel New York;Via Pirelli Giovanni Battista, 5;3;69;132
2;10;Albergo;Hotel Terminal;Via Ponte Seveso, 38;3;47;95
2;10;Albergo;Hotel Soperga;Via Soperga, 24;3;78;134
2;10;Albergo;Hotel Mythos;Via Tenca, 21;3;52;79
2;10;Albergo;Hotel Albert;Via Tonale, 2;3;62;102
2;10;Albergo;Hotel Demo;Via Tonale, 14;3;28;58
2;10;Albergo;Dependance Hotel Berna;Via Torriani Napo, 17;3;16;24
2;10;Albergo;Flora;Via Torriani Napo, 23;3;50;83
2;10;Albergo;Hotel Augustus;Via Torriani Napo, 29;3;56;93
2;10;Albergo;Hotel Bernina;Via Torriani Napo, 27;3;44;75
2;10;Albergo;Hotel Canova;Via Torriani Napo, 15;3;59;127
2;10;Albergo;Hotel Garda;Via Torriani Napo, 21;3;56;98
2;10;Albergo;Hotel Mennini;Via Torriani Napo, 14;3;62;122
2;10;Albergo;Idea Hotel Milano Centrale;Via Torriani Napo, 28;3;71;98
2;10;albergo;Gonzaga;Via Vitruvio, 43;3;28;67
2;10;Albergo;Hotel Amadeus;Via Vitruvio, 48;3;83;150
2;10;Residence;Tencaresidence;Via Tenca Carlo, 11;3;27;92
2;10;Albergo;Hotel Ada;Via Sammartini Giovanni Battista, 15;2;18;25
2;10;Albergo;Hotel Casa Mia;Vle Vittorio Veneto, 30;2;15;25
2;10;Albergo;Hotel Edolo;Via Edolo, 18;2;11;24
2;10;Albergo;Hotel Esco;Via Antonio Da Recanate, 2;2;10;19
2;10;Albergo;Hotel Ferton;Via San Gregorio, 30;2;34;58
2;10;Albergo;Hotel Stazione;Via Pirelli Giovanni Battista, 5;2;10;23
2;10;Albergo;Hotel Virgilio;Via Pl Da Palestrina, 30;2;20;25
2;10;Albergo;Arno;Via Lazzaretto, 17;1;10;16
2;10;Albergo;Pensione Eva;Via Lazzaretto, 17;1;9;20
2;10;Albergo;Hotel Central Station;Via Sammartini Giovanni Battista, 15;1;17;25
2;10;Albergo;Hotel Valley;Via Soperga, 19;1;11;22
2;10;Albergo;Hotel Verona;Via Tenca Carlo, 12;1;19;25
2;10;Albergo;Hotel Italia;Via Vitruvio, 44;1;35;70
2;10;Albergo;Hotel Nazionale;Via Vitruvio, 46;1;7;12
2;11;Albergo;Crowne Plaza Milan City;Via Gioia Melchiorre, 73;4;99;198
2;11;Residence;Residence Pola;Via Pola, 4;4;39;52
2;13;Albergo;Idea Hotel Milano Bicocca;Via Della Giustizia, 10;4;145;290
2;16;Residence;Viserba Residence;Via Viserba, 18;3;47;96
2;17;Albergo;Hotel Convertini;Via San Mamete, 12;1;13;28
2;19;Albergo;Ramada Plaza Milano;Via Stamira D'Ancona, 27;4;167;334
2;19;Albergo;Hotel Concorde;Vle Monza, 132;4;120;254
2;19;Residence;Residence Atahotel Linea Uno;Vle Monza, 139;4;89;254
2;19;Albergo;Hotel Agape;Via Flumendosa, 35;3;43;75
2;19;Albergo;Hotel Nuovo Metro;Vle Monza, 120;3;15;25
2;19;Residence;Residence Casei;Via Cavezzali Francesco, 11;3;180;258
2;19;Residence;Residence Loreto;Via Rancati Ilarione, 3;3;45;80
2;19;Albergo;Trento;Via Dal Pozzo Toscanelli Paolo, 4;1;16;23
2;20;Albergo;Hotel Pasteur;Via Guinizelli Guido, 22;3;93;186
2;20;Albergo;Loreto;Via Bambaia, 4;2;14;25
2;20;Albergo;Hotel Siro;Via Venini Giulio E Corrado, 59;1;10;21
3;18;Albergo;Nu Hotel;Via Feltre, 19;4;38;70
3;18;albergo;Hotel Rafael;Via Olgettina, 60;3;216;439
3;20;Albergo;Albergo Lombardia;Vle Lombardia, 74;3;96;157
3;20;Residence;Pian Della Nave;Via Lambrate, 9;3;67;200
3;20;Albergo;Hotel Catalani E Madrid;Via Catalani Alfredo, 71;2;20;38
3;20;Albergo;Albergo La Pace;Via Catalani Alfredo, 69;1;20;33
3;20;Albergo;Hotel Adelchi Lambrate;Via Ingegnoli Francesco, 20;1;16;25
3;20;Albergo;Hotel Ca  Grande;Via Porpora Nicola Antonio, 87;1;18;21
3;20;Albergo;Hotel Chopin;Via Porpora Nicola Antonio, 143;1;10;21
3;21;Albergo;Chateau Monfort;Cso Concordia, 1;5;77;180
3;21;Albergo;Hotel Napoleon;Via Ozanam Federico, 12;4;40;68
3;21;Albergo;St. George Hotel;Vle Tunisia, 9;4;50;99
3;21;Albergo;Town House 33;Via Goldoni Carlo, 33;4;11;21
3;21;Albergo;Cristoforo Colombo;Cso Buenos Aires, 3;4;116;191
3;21;Albergo;Grand Hotel Puccini;Cso Buenos Aires, 33;4;65;97
3;21;Albergo;Hotel Galles;Pza Lima, 2;4;198;395
3;21;Albergo;Albergo Felice Casati;Via Casati Felice, 18;4;99;145
3;21;Albergo;Zefiro;Via Gallina Giacinto, 12;4;54;92
3;21;Albergo;Hotel Town House 31;Via Goldoni Carlo, 31;4;18;32
3;21;Albergo;Hotel Sanpi;Via Palazzi Lazzaro, 18;4;79;160
3;21;Albergo;Hotel Del Corso;Via Pecchio Giuseppe, 2;4;26;45
3;21;Albergo;Starhotels Ritz;Via Spallanzani Lazzaro, 40;4;207;386
3;21;Albergo;Doria Grand Hotel;Vle Doria Andrea, 22;4;124;234
3;21;Albergo;Hotel Sheraton Diana Majestic;Vle Piave, 42;4;105;205
3;21;Residence;Residence Donatello;Via Donatello, 12;4;10;20
3;21;Residence;Residence International;Via Modena Gustavo, 4;4;37;59
3;21;Albergo;Hotel Aspromonte;Pza Aspromonte, 12/14;3;19;31
3;21;Albergo;Hotel Florence;Pza Aspromonte, 22;3;29;56
3;21;Albergo;Hotel Roxy;Via Bixio Nino, 6;3;36;61
3;21;Albergo;Hotel Bagliori;Via Boscovich Ruggero, 43;3;14;19
3;21;Albergo;Hotel Serena;Via Boscovich Ruggero, 59;3;51;108
3;21;Albergo;Albergo Fenice;Cso Buenos Aires, 2;3;46;98
3;21;Albergo;Hotel Buenos Aires;Cso Buenos Aires, 26;3;25;39
3;21;Albergo;Hotel City;Gll Buenos Aires, 5;3;60;100
3;21;Albergo;Hotel Brianza;Via Castaldi Panfilo, 16;3;25;36
3;21;Albergo;Hotel Ideale;Vle Dei Mille, 60;3;22;40
3;21;Albergo;Royal;Via Goldoni Carlo, 84;3;14;25
3;21;Albergo;Hotel San Francisco;Vle Lombardia, 55;3;28;55
3;21;Albergo;Hotel Mercure Milano Centro Porta Venezi;Pza Oberdan Guglielmo, 12;3;30;57
3;21;Albergo;Hotel Dore';Via Paganini Niccolo', 7;3;18;39
3;21;Albergo;Hotel Demidoff;Via Plinio Caio Secondo, 2;3;43;65
3;21;Albergo;Hotel Adler;Via Ricordi Giovanni, 10;3;23;43
3;21;Albergo;Hotel Adler;Via Ricordi Giovanni, 10;3;23;47
3;21;Albergo;Hotel Cristallo;Via Scarlatti Domenico, 22;3;108;230
3;21;Albergo;Eurohotel;Via Sirtori Giuseppe, 24;3;60;101
3;21;Albergo;Hotel Teco;Via Spallanzani Lazzaro, 27;3;28;80
3;21;Albergo;Hotel Mazzini;Via Vitruvio, 29;3;18;30
3;21;Residence;Domus;Vle Abruzzi, 67;3;20;36
3;21;Albergo;Astrid;Via Lulli Giovanni, 22;2;11;23
3;21;Albergo;Hotel 2000;Via Vitruvio, 28;2;14;25
3;21;Albergo;Hotel Charly;Via Settala Lodovico, 76;2;20;34
3;21;Albergo;Hotel Due Giardini;Via Marcello Benedetto, 47;2;10;21
3;21;Albergo;Hotel Eden;Via Vitruvio, 20;2;17;32
3;21;Albergo;Hotel Gran Sasso;Via Lippi Filippino, 28;2;22;39
3;21;Albergo;Hotel Medea;Via Goldoni Carlo, 84;2;10;17
3;21;Albergo;Hotel Mondial;Via Vitruvio, 24;2;17;29
3;21;Albergo;Hotel Nizza;Via Porpora Nicola Antonio, 18;2;11;23
3;21;Albergo;Hotel Piola;Via Pestalozza Alessandro, 28;2;13;25
3;21;Albergo;Hotel Rallye;Via Marcello Benedetto, 59;2;16;25
3;21;Albergo;Hotel Salerno;Via Vitruvio, 18;2;19;39
3;21;Albergo;Hotel Siena;Via Castaldi Panfilo, 17;2;15;25
3;21;Albergo;Hotel The Best;Via Marcello Benedetto, 83;2;28;56
3;21;Albergo;Hotel Trentina;Via Lippi Filippino, 50;2;10;20
3;21;Albergo;Sara;Via Sacchini Antonio Gaspare, 17;2;18;36
3;21;Albergo;Hotel Tirreno;Pza Aspromonte, 18;1;10;16
3;21;Albergo;Hotel Aurora;Cso Buenos Aires, 18;1;16;25
3;21;Albergo;Hotel Porta Venezia;Via Castaldi Panfilo, 26;1;12;20
3;21;Albergo;Hotel Aladin;Vle Dei Mille, 48;1;10;17
3;21;Albergo;Pensione Capri;Vle Dei Mille, 24;1;11;20
3;21;Albergo;Calipso;Via Gaffurio Franchino, 1;1;19;32
3;21;Albergo;Merano;Via Lazzaretto, 10;1;11;25
3;21;Albergo;Hotel Acapulco;Vle Lombardia, 59;1;11;18
3;21;Albergo;Hotel Loris;Via Lulli Giovanni, 11;1;22;25
3;21;Albergo;Hotel New Milano;Via Lulli Giovanni, 18;1;9;16
3;21;Albergo;Hotel Viola;Via Lulli Giovanni, 4;1;9;14
3;21;Albergo;Brasil;Via Modena Gustavo, 20;1;17;25
3;21;Albergo;Hotel Paganini;Via Paganini Niccolo', 6;1;8;23
3;21;Albergo;Ambrosiana;Via Plinio Caio Secondo, 22;1;16;22
3;21;Albergo;Albergo Poerio;Via Poerio Carlo, 32;1;13;20
3;21;Albergo;Paola;Via Porpora Nicola Antonio, 16;1;10;24
3;21;Albergo;Pensione Oriente;Via Porpora Nicola Antonio, 52;1;10;19
3;21;Albergo;Hotel Malta;Via Ricordi Giovanni, 20;1;15;24
3;21;Albergo;Villa Mira;Via Sacchini Antonio Gaspare, 19;1;10;18
3;21;Albergo;Hotel Da Xin;Via Settala Lodovico, 56;1;7;11
3;21;Albergo;Albergo Del Sole;Via Spontini Gaspare, 6;1;17;40
3;21;Albergo;Hotel Nettuno;Via Tadino Alessandro, 27;1;22;53
3;21;Albergo;Hotel Kennedy;Vle Tunisia, 6;1;13;23
3;21;Albergo;Hotel San Tomaso;Vle Tunisia, 6;1;12;25
3;21;Albergo;Vallazze;Via Vallazze, 14;1;13;22
3;22;Albergo;Hotel Dieci;Lgo Rio De Janeiro, 12;4;29;41
3;22;Albergo;Hotel Lugano;Via Astolfo, 6;3;21;31
3;22;Albergo;Hotel Vienna;Via Astolfo, 5;3;23;35
3;22;Albergo;Sunset City;Via Colombo Giuseppe, 14;3;10;17
3;22;Albergo;Oasi Village Hotel;Vle Lombardia, 20;3;14;25
3;22;Albergo;Majorca;Via Pellizzone Andrea, 12;3;34;53
3;22;Albergo;Hotel Citta  Studi;Via Saldini Cesare, 24;3;45;79
3;22;Albergo;Hotel Gamma;Via Valvassori Peroni Carlo, 85;3;58;99
3;22;Residence;Residence Bianca Croce;Via Paladini Ettore, 7;3;63;115
3;22;Albergo;Albergo Iride;Via Porpora Nicola Antonio, 170;2;11;19
3;22;Albergo;Hotel Ambra;Via Caccianino Antonio, 10;1;8;18
3;22;Albergo;Leonardo Da Vinci;Pza Leonardo Da Vinci, 10;1;13;20
3;22;Albergo;Hotela Alba;Via Porpora Nicola Antonio, 132;1;7;12
3;22;Albergo;Hotel Galla;Via Teodosio, 37;1;8;15
3;22;Albergo;Hotel Montecarlo;Via Vallazze, 39;1;19;32
4;25;Albergo;Albergo Susa;Vle Argonne, 14;3;19;37
4;25;Albergo;Hotel Rossovino;Via Bartolozzi Francesco, 9;1;7;12
4;25;Albergo;San Giovanni;Via Reina Francesco, 18;1;11;20
4;26;Albergo;Hotel Vittoria;Via Calvi Pietro, 32;4;40;58
4;26;Albergo;Hotel Perugino;Via Perugino, 12;3;32;54
4;26;Residence;Residencemignoncase Tre;Via Melloni Macedonio, 17;3;16;26
4;26;Albergo;Arco;Pza Santa Maria Del Suffragio, 3;2;17;25
4;26;Albergo;Hotel Castelletto;Via Archimede, 79;2;14;22
4;26;Albergo;Hotel Dateo;Vle Piceno, 33;2;17;33
4;26;Albergo;Hotel De Albertis;Via De Albertis Sebastiano, 7;2;11;18
4;26;Albergo;Hotel Delizia;Via Archimede, 86/88;2;14;25
4;26;Albergo;Hotel Dover;Via Sottocorno Pasquale, 8;2;13;24
4;26;Albergo;La Caravella;Via Hajech Camillo, 18;2;11;16
4;26;Albergo;Xxii Marzo;Pza Santa Maria Del Suffragio, 3;2;15;25
4;26;Albergo;Pensione Lanterna;Via Archimede, 121;1;7;16
4;26;Albergo;Hotel America;Cso Ventidue Marzo, 32;1;9;18
4;26;Albergo;Hotel El Diablo;Cso Ventidue Marzo, 43;1;9;15
4;27;Albergo;Una Hotel Mediterraneo;Via Muratori Lodovico, 14;4;93;206
4;27;Albergo;Hotel Di Porta Romana;Via Papi Lazzaro, 18;3;36;67
4;27;Residence;Residence L M5;Via Muratori Lodovico, 5;3;24;48
4;27;Residence;Residence Sigieri;Via Sigieri Goffredo, 3;3;19;24
4;28;Albergo;Mec Hotel;Via Tito Livio, 4;3;40;71
4;29;Albergo;Hotel Molise2;Via Cadibona, 2;3;30;42
4;30;Albergo;Novotel Milano Linate Aeroporto;Via Mecenate, 121;4;208;416
4;30;Residence;Residence Futura;Via Montessori Maria, 14;4;56;133
4;35;Albergo;Starhotels Business Palace;Via Gaggia Pietro, 3;4;259;468
4;35;Residence;Corvetto Residence Porto Di Mare;Via Osimo Augusto, 10;4;64;200
4;35;Albergo;Hotel Mistral;Via Toffetti Vincenzo, 4;3;26;49
4;35;Albergo;Hotel Brenta Milano;Vle Brenta, 33;2;12;23
4;35;Albergo;Hotel Corvetto;Ple Corvetto Luigi Emanuele, 5;1;15;25
4;35;Albergo;Hotel Del Sud;Cso Lodi, 74;1;27;46
5;5;Albergo;Hotel D Este;Vle Bligny, 23;4;84;138
5;5;Albergo;Hotel Liberty;Vle Bligny, 56;4;58;106
