date,team_a,team_b,result
13/07/30,Francia,Messico,4-1
13/07/30,USA,Belgio,3-0
14/07/30,Yugoslavia,Brasile,2-1
14/07/30,Romania,Per,3-1
15/07/30,Argentina,Francia,1-0
16/07/30,Cile,Messico,3-0
17/07/30,Yugoslavia,Bolivia,4-0
17/07/30,USA,Paraguay,3-0
18/07/30,Uruguai,Per,1-0
19/07/30,Argentina,Messico,6-3
19/07/30,Cile,Francia,1-0
20/07/30,Brasile,Bolivia,4-0
20/07/30,Paraguay,Belgio,1-0
21/07/30,Uruguai,Romania,4-0
22/07/30,Argentina,Cile,3-1
26/07/30,Argentina,USA,6-1
27/07/30,Uruguai,Yugoslavia,6-1
30/07/30,Uruguai,Argentina,4-2
27/05/34,Italia,USA,7-1
27/05/34,Germania,Belgio,5-2
27/05/34,Cecoslovacchia,Romania,2-1
27/05/34,Svizzera,Olanda,3-2
27/05/34,Svezia,Argentina,3-2
27/05/34,Spagna,Brasile,3-1
27/05/34,Ungheria,Egitto,4-2
27/05/34,Austria,Francia,3-2
31/05/34,Austria,Ungheria,2-1
31/05/34,Cecoslovacchia,Svizzera,3-2
31/05/34,Germania,Svezia,2-1
31/05/34,Italia,Spagna,1-1
1/6/34,Italia,Spagna,1-0
3/6/34,Italia,Austria,1-0
3/6/34,Cecoslovacchia,Germania,3-1
7/6/34,Germania,Austria,3-2
10/6/34,Italia,Cecoslovacchia,2-1
4/6/38,Svizzera,Germania,1-1
5/6/38,Italia,Norvegia,2-1
5/6/38,Ungheria,Indie Olandesi,6-0
5/6/38,Cecoslovacchia,Olanda,3-0
5/6/38,Francia,Belgio,3-1
5/6/38,Brasile,Polonia,6-5
5/6/38,Cuba,Romania,3-3
9/6/38,Cuba,Romania,2-1
9/6/38,Svizzera,Germania,4-2
12/6/38,Brasile,Cecoslovacchia,1-1
12/6/38,Svezia,Cuba,8-0
12/6/38,Ungheria,Svizzera,2-0
12/6/38,Italia,Francia,3-1
14/06/38,Brasile,Cecoslovacchia,2-1
16/06/38,Ungheria,Svezia,5-1
16/06/38,Italia,Brasile,2-1
19/06/38,Brasile,Svezia,4-2
19/06/38,Italia,Ungheria,4-2
24/06/50,Brasile,Messico,4-0
25/06/50,Yugoslavia,Svizzera,3-0
25/06/50,Spagna,USA,3-1
25/06/50,Inghilterra,Cile,2-0
25/06/50,Svezia,Italia,3-2
28/06/50,Yugoslavia,Messico,4-1
28/06/50,Brasile,Svizzera,2-2
29/06/50,USA,Inghilterra,1-0
29/06/50,Spagna,Cile,2-0
29/06/50,Svezia,Paraguay,2-2
