Year,Country,firstp,secodp,thirdp,fourthp
"1930
",Uruguay,Uruguay,Argentina,Stati Uniti,Jugoslavia
"1934
",Italia,Italia,Cecoslovacchia,Germania,Austria
"1938
",Francia,Italia,Ungheria,Brasile,Svezia
"1950
",Brasile,Uruguay,Brasile,Svezia,Spagna
"1954
",Svizzera,Germania,Ungheria,Austria,Uruguay
"1958
",Svezia,Brasile,Svezia,Francia,Germania
"1962
",Cile,Brasile,Cecoslovacchia,Cile,Jugoslavia
"1966
",Inghilterra,Inghilterra,Germania,Portogallo,URSS
"1970
",Messico,Brasile,Italia,Germania,Uruguay
"1974
",Germania,Germania,Olanda,Polonia,Brasile
"1978
",Argentina,Argentina,Olanda,Brasile,Italia
"1982
",Spagna,Italia,Germania,Polonia,Francia
"1986
",Messico,Argentina,Germania,Francia,Belgio
"1990
",Italia,Germania,Argentina,Italia,Inghilterra
"1994
",Stati Uniti,Brasile,Italia,Svezia,Bulgaria
"1998
",Francia,Francia,Brasile,Croazia,Olanda
"2002
","Corea del Sud

Giappone",Brasile,Germania,Turchia,Corea del Sud
"2006
",Germania,Italia,Francia,Germania,Portogallo
"2010
",Sudafrica,Spagna,Olanda,Germania,Uruguay
