Pos.	Giocatore	eta	Pres.	Gol	Nazionale
P	Manuel Neuer	28	45	0	Germania
P	Roman Weidenfeller	33	1	0	Germania
D	Philipp Lahm	30	105	5	Germania
D	Per Mertesacker	29	96	4	Germania
D	Marcell Jansen	28	45	3	Germania
D	Jérôme Boateng	25	37	0	Germania
D	Marcel Schmelzer	26	16	0	Germania
D	Kevin Großkreutz	25	4	0	Germania
D	Matthias Ginter	20	1	0	Germania
D	Shkodran Mustafi	22	0	0	Germania
C	Lukas Podolski	28	112	46	Germania
C	Bastian Schweinsteiger	29	101	23	Germania
C	Mesut Özil	25	53	17	Germania
C	Toni Kroos	24	42	5	Germania
C	André Schürrle	23	31	11	Germania
C	Mario Götze	21	27	7	Germania
C	Sidney Sam	26	5	0	Germania
C	André Hahn	23	0	0	Germania
A	Miroslav Klose	35	131	68	Germania
P	Moisés Muñoz	34	13	0	Messico
P	Alfredo Talavera	31	13	0	Messico
D	Rafael Márquez	35	118	15	Messico
D	Francisco Javier Rodríguez	32	91	1	Messico
D	Paul Aguilar	28	27	3	Messico
D	Juan Carlos Valenzuela	30	19	0	Messico
D	Miguel Layún	25	11	0	Messico
D	Miguel Ponce	25	6	1	Messico
D	Enrique Pérez	25	3	0	Messico
D	Rogelio Chávez	29	1	0	Messico
C	Jesús Zavala	26	30	2	Messico
C	Carlos Peña	24	14	2	Messico
C	Marco Fabián	24	11	4	Messico
C	Luis Montes	28	11	2	Messico
C	Juan Carlos Medina	30	7	0	Messico
C	Isaác Brizuela	23	5	0	Messico
C	José Juan Vázquez	26	2	0	Messico
A	Raúl Jiménez	23	22	4	Messico
A	Alan Pulido	23	3	4	Messico
P	Asmir Begović	26	28	-26	Bosnia Erzegovina
P	Jasmin Fejzić	28	0	0	Bosnia Erzegovina
P	Asmir Avdukić	33	3	0	Bosnia Erzegovina
D	Avdija Vršajević	28	12	0	Bosnia Erzegovina
D	Ermin Bičakčić	24	7	1	Bosnia Erzegovina
D	Emir Spahić	33	72	3	Bosnia Erzegovina
D	Sead Kolašinac	20	2	0	Bosnia Erzegovina
D	Ognjen Vranješ	24	11	0	Bosnia Erzegovina
D	Mensur Mujdza	30	22	0	Bosnia Erzegovina
D	Ervin Zukanović	27	6	0	Bosnia Erzegovina
D	Toni Šunjić	25	5	0	Bosnia Erzegovina
C	Tino-Sven Sušić	22	1	0	Bosnia Erzegovina
C	Miralem Pjanić	24	46	8	Bosnia Erzegovina
C	Zvjezdan Misimović	31	79	25	Bosnia Erzegovina
C	Zoran Kvržić	25	3	0	Bosnia Erzegovina
C	Adnan Zahirović	24	20	0	Bosnia Erzegovina
C	Sejad Salihović	29	40	4	Bosnia Erzegovina
C	Senad Lulić	28	33	1	Bosnia Erzegovina
C	Senijad Ibričić	28	42	4	Bosnia Erzegovina
C	Haris Međunjanin	29	34	5	Bosnia Erzegovina
C	Edin Višća	24	8	0	Bosnia Erzegovina
C	Izet Hajrovic	22	5	1	Bosnia Erzegovina
C	Anel Hadžić	24	1	0	Bosnia Erzegovina
A	Vedad Ibišević	29	53	20	Bosnia Erzegovina
A	Edin Džeko	28	60	33	Bosnia Erzegovina
P	Keylor Navas	27	51	0	Costa Rica
P	Patrick Pemberton	31	20	0	Costa Rica
D	Michael Umaña	31	81	1	Costa Rica
D	Junior Díaz	30	60	1	Costa Rica
D	Roy Miller	29	47	1	Costa Rica
D	Giancarlo González	26	33	2	Costa Rica
D	José Salvatierra	24	26	0	Costa Rica
D	Cristian Gamboa	24	24	1	Costa Rica
D	Óscar Duarte	24	10	0	Costa Rica
D	Waylon Francis	23	1	0	Costa Rica
C	Celso Borges	25	61	14	Costa Rica
C	Christian Bolaños	30	53	2	Costa Rica
C	Michael Barrantes	30	42	4	Costa Rica
C	José Cubero	27	33	2	Costa Rica
C	Yeltsin Tejeda	22	21	0	Costa Rica
C	Esteban Granados	28	11	0	Costa Rica
C	Diego Calvo	23	9	1	Costa Rica
A	Álvaro Saborío	32	93	32	Costa Rica
A	Bryan Ruiz	28	61	12	Costa Rica
A	Joel Campbell	21	31	9	Costa Rica
A	Marco Ureña	24	22	7	Costa Rica
A	John Jairo Ruiz	20	1	0	Costa Rica
P	Jasper Cillessen	25	5	0	Olanda
P	Jeroen Zoet	23	0	0	Olanda
D	Gregory van der Wiel	26	37	0	Olanda
D	Ron Vlaar	29	22	1	Olanda
D	Daryl Janmaat	24	13	0	Olanda
D	Bruno Martins Indi	22	13	2	Olanda
D	Daley Blind	24	9	0	Olanda
D	Karim Rekik	19	1	0	Olanda
D	Jöel Veltman	22	1	0	Olanda
C	Wesley Sneijder	29	97	26	Olanda
C	Kevin Strootman	24	25	3	Olanda
C	Stijn Schaars	30	23	0	Olanda
C	Jordy Clasie	22	7	0	Olanda
C	Siem de Jong	25	6	2	Olanda
C	Davy Klaassen	21	1	0	Olanda
A	Dirk Kuyt	33	98	24	Olanda
A	Robin van Persie	30	83	42	Olanda
A	Arjen Robben	30	73	22	Olanda
A	Klaas-Jan Huntelaar	30	60	34	Olanda
A	Memphis Depay	20	4	0	Olanda
A	Jean-Paul Boëtius	20	1	0	Olanda
A	Quincy Promes	22	1	0	Olanda
P	Gianluigi Buffon	36	139	-114	Italia
P	Salvatore Sirigu	27	7	-8	Italia
P	Mattia Perin	21	0	0	Italia
D	Ignazio Abate	27	18	1	Italia
